productCode, current price, discount percentage
HPW0818,24.90,15
HADW131088,17.99,15
HADW131108,19.99,15
HKSPA1088,25.00,15
HKSPA1088-I,25.00,15
HKSPA2088,25.00,15
HKSPA3088,32.00,15
HKSPAR1082,59.00,15
HKSPA1143,75.00,15
HKSPA2142,65.00,15
HKSPA3142,85.00,15
HHKT8081,25.00,15
HKISSD12101,45.00,15
HKTS12122,45.00,15
HKTS12251,109.00,15
HKTHP21421,399.00,15
HTCS220971,369.00,15
HTC04600,85.00,20
HTC04800AG,219.00,20
HBJ402,49.00,20
HBJ1202,95.00,20
HFJ302,177.00,20
HGC0106,17.99,15
HGP08023,16.99,15
HGP08024,19.99,15
HGP08033,22.99,15
HGP08034,25.99,15
HBV084,109.00,20
HHF3088,17.99,20
HHF3038,11.99,20
HSBB12246,3.00,15
HHAS08500,10.99,20
HHAS08400,9.99,20
HCS3008,10.99,20
HPS0308,15.99,20
HPS0109,9.00,15
HHS6301,24.99,20
HLT7401,29.99,20
HFSW1808,13.99,20
HKNS16538,5.49,15
HUK6118,12.99,15
HUK611,10.99,15
HKNS18068,2.99,15
HKNS16518,3.99,15
HKNSB181,2.99,15
HLDD0608,132.00,20
HLL156508,125.00,20
DCM2001,40.00,20
HSMT0803,4.49,10
HSMT08052,7.49,10
HFMT8130,14.49,10
HSL08060,18.99,15
HBSL08060,28.99,15
HSL08120,32.00,15
MP1120,19.99,20
MP1160,23.99,20
HMH880500,8.99,20
HSTH8802,13.99,20
HCH80808,7.99,22
HCH80816,11.99,20
HRUH8308,10.00,22
HRUH8316,12.00,20
HRPH8140,13.99,20
HAX02010008,23.99,20
HAX02012508,32.99,20
HWBA01482,29.99,20
HCG15115,9.99,20
HCG1709,12.99,20
HCG0112,17.99,20
EPB820121,5.99,20
EPB820301,12.99,20
AKJ0051,7.49,20
SSB644D,3.49,20
SSB922EF,6.99,20
JBT111C,5.19,20
AKFS140102,3.00,20
AKFS240101-1,3.00,15
AKFS264115,4.00,15
AKRS150051,4.99,15
BSP020801,5.00,15
HPUT08060,3.99,15
HPUT08080,4.49,20
HBT618,4.99,20
HPT28138,12.49,20
HSFR24108,19.00,20
HSFR24008,14.00,20
CHPTB0114091,16.99,20
CHPTB68715,1.99,25
CHPTB68702,2.49,25
CHPTB0515,2.99,25
CHPTB0502,3.89,25
CHPTB0503,5.99,25
CHPTB8715,3.29,25
CHPTB8702,4.79,25
HRHT061001D,4.99,20
HRHT042302,9.99,20
HKTCB121001,11.99,20
HSU025001,15.99,20
HGNG01,1.49,15
HGVL03,2.49,15
HGVN01,3.39,15
HGCG01-XL,4.89,15
HGCG08-XL,5.99,15
HSH206,8.49,22
WM101,8.99,20
AHM008,69.00,20
HHL013AAA2,29.00,15
SSH12SB.40,89.00,20
HJATL2281,60.00,15
HRCTL031,29.99,15
HLBACD252,2.59,40
HLBACD292,2.99,40
HCT2001,5.99,15
